raw_id,raw_text
up-b100-0001,上海市徐汇区肇嘉浜路111号
up-b100-0002,北京市朝阳区建国路88号
up-b100-0003,广州市天河区体育西路100号
up-b100-0004,深圳市南山区科技园南区8栋
up-b100-0005,成都市高新区天府大道北段1700号
up-b100-0006,杭州市西湖区文三路478号
up-b100-0007,武汉市洪山区珞喻路1037号
up-b100-0008,西安市雁塔区高新路52号
up-b100-0009,南京市鼓楼区中山北路1号
up-b100-0010,苏州市工业园区星湖街328号
up-b100-0011,上海市徐汇区肇嘉浜路111号
up-b100-0012,北京市朝阳区建国路88号
up-b100-0013,广州市天河区体育西路100号
up-b100-0014,深圳市南山区科技园南区8栋
up-b100-0015,成都市高新区天府大道北段1700号
up-b100-0016,杭州市西湖区文三路478号
up-b100-0017,武汉市洪山区珞喻路1037号
up-b100-0018,西安市雁塔区高新路52号
up-b100-0019,南京市鼓楼区中山北路1号
up-b100-0020,苏州市工业园区星湖街328号
up-b100-0021,上海市徐汇区肇嘉浜路111号
up-b100-0022,北京市朝阳区建国路88号
up-b100-0023,广州市天河区体育西路100号
up-b100-0024,深圳市南山区科技园南区8栋
up-b100-0025,成都市高新区天府大道北段1700号
up-b100-0026,杭州市西湖区文三路478号
up-b100-0027,武汉市洪山区珞喻路1037号
up-b100-0028,西安市雁塔区高新路52号
up-b100-0029,南京市鼓楼区中山北路1号
up-b100-0030,苏州市工业园区星湖街328号
up-b100-0031,上海市徐汇区肇嘉浜路111号
up-b100-0032,北京市朝阳区建国路88号
up-b100-0033,广州市天河区体育西路100号
up-b100-0034,深圳市南山区科技园南区8栋
up-b100-0035,成都市高新区天府大道北段1700号
up-b100-0036,杭州市西湖区文三路478号
up-b100-0037,武汉市洪山区珞喻路1037号
up-b100-0038,西安市雁塔区高新路52号
up-b100-0039,南京市鼓楼区中山北路1号
up-b100-0040,苏州市工业园区星湖街328号
up-b100-0041,上海市徐汇区肇嘉浜路111号
up-b100-0042,北京市朝阳区建国路88号
up-b100-0043,广州市天河区体育西路100号
up-b100-0044,深圳市南山区科技园南区8栋
up-b100-0045,成都市高新区天府大道北段1700号
up-b100-0046,杭州市西湖区文三路478号
up-b100-0047,武汉市洪山区珞喻路1037号
up-b100-0048,西安市雁塔区高新路52号
up-b100-0049,南京市鼓楼区中山北路1号
up-b100-0050,苏州市工业园区星湖街328号
up-b100-0051,上海市徐汇区肇嘉浜路111号
up-b100-0052,北京市朝阳区建国路88号
up-b100-0053,广州市天河区体育西路100号
up-b100-0054,深圳市南山区科技园南区8栋
up-b100-0055,成都市高新区天府大道北段1700号
up-b100-0056,杭州市西湖区文三路478号
up-b100-0057,武汉市洪山区珞喻路1037号
up-b100-0058,西安市雁塔区高新路52号
up-b100-0059,南京市鼓楼区中山北路1号
up-b100-0060,苏州市工业园区星湖街328号
up-b100-0061,上海市徐汇区肇嘉浜路111号
up-b100-0062,北京市朝阳区建国路88号
up-b100-0063,广州市天河区体育西路100号
up-b100-0064,深圳市南山区科技园南区8栋
up-b100-0065,成都市高新区天府大道北段1700号
up-b100-0066,杭州市西湖区文三路478号
up-b100-0067,武汉市洪山区珞喻路1037号
up-b100-0068,西安市雁塔区高新路52号
up-b100-0069,南京市鼓楼区中山北路1号
up-b100-0070,苏州市工业园区星湖街328号
up-b100-0071,上海市徐汇区肇嘉浜路111号
up-b100-0072,北京市朝阳区建国路88号
up-b100-0073,广州市天河区体育西路100号
up-b100-0074,深圳市南山区科技园南区8栋
up-b100-0075,成都市高新区天府大道北段1700号
up-b100-0076,杭州市西湖区文三路478号
up-b100-0077,武汉市洪山区珞喻路1037号
up-b100-0078,西安市雁塔区高新路52号
up-b100-0079,南京市鼓楼区中山北路1号
up-b100-0080,苏州市工业园区星湖街328号
up-b100-0081,上海市徐汇区肇嘉浜路111号
up-b100-0082,北京市朝阳区建国路88号
up-b100-0083,广州市天河区体育西路100号
up-b100-0084,深圳市南山区科技园南区8栋
up-b100-0085,成都市高新区天府大道北段1700号
up-b100-0086,杭州市西湖区文三路478号
up-b100-0087,武汉市洪山区珞喻路1037号
up-b100-0088,西安市雁塔区高新路52号
up-b100-0089,南京市鼓楼区中山北路1号
up-b100-0090,苏州市工业园区星湖街328号
up-b100-0091,上海市徐汇区肇嘉浜路111号
up-b100-0092,北京市朝阳区建国路88号
up-b100-0093,广州市天河区体育西路100号
up-b100-0094,深圳市南山区科技园南区8栋
up-b100-0095,成都市高新区天府大道北段1700号
up-b100-0096,杭州市西湖区文三路478号
up-b100-0097,武汉市洪山区珞喻路1037号
up-b100-0098,西安市雁塔区高新路52号
up-b100-0099,南京市鼓楼区中山北路1号
up-b100-0100,苏州市工业园区星湖街328号
